recipe_name,tag,image_url,recipe_url,page
Pâte à tartiner aux pistaches,DESSERTS,https://assets.magimix.com/files/rec_71789/avatar_pate-pistache-avatar.jpg,https://www.magimix.fr/recettes/pate-tartiner-aux-pistaches_r,1
"Terrine de poulet, tomates et feta",APÉRITIFS,https://assets.magimix.com/files/rec_61829/avatar_terrine-poulet-avatar.jpg,https://www.magimix.fr/recettes/terrine-de-poulet-tomates-et-feta_c,1
Cheesecake aux radis roses,ENTRÉES,https://assets.magimix.com/files/rec_69456/avatar_cheesecake-radis-avatar.jpg,https://www.magimix.fr/recettes/cheesecake-au-radis-roses_c,1
Banh Mi à l'indienne,VÉGÉTARIENS,https://assets.magimix.com/files/rec_74105/Paneer_BanMi_pg4849_4.jpg,https://www.magimix.fr/recettes/banh-mi-a-l_indienne-1_c,1
Cake aux bananes,DESSERTS,https://assets.magimix.com/files/rec_96689/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/cake-aux-bananes_c,1
Soupe au poulet et au gingembre,SOUPES,https://assets.magimix.com/files/rec_33416/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/soupe-au-poulet-et-au-gingembre_c,1
Sponge cake aux fraises,DESSERTS,https://assets.magimix.com/files/rec_40700/Victoria Sponge square.jpg,https://www.magimix.fr/recettes/sponge-cake-aux-fraises_r,1
Cornets maison,DESSERTS,https://assets.magimix.com/files/rec_7487/avatar_icecream-cone-avatar.jpg,https://www.magimix.fr/recettes/cornets-maison_c,1
Sauté asiatique aux crevettes,POISSONS,https://assets.magimix.com/files/rec_66496/avatar_RECIPE AVATAR12.jpg,https://www.magimix.fr/recettes/saute-asiatique-aux-crevettes_c,1
Mini frittata pois et feta,VÉGÉTARIENS,https://assets.magimix.com/files/rec_26329/avatar_fritatta-peas-avatar.jpg,https://www.magimix.fr/recettes/mini-frittata-pois-et-feta_c,1
Lait de poule,BOISSONS,https://assets.magimix.com/files/rec_60036/avatar_eggnog-avatar.jpg,https://www.magimix.fr/recettes/lait-de-poule_c,1
